company,budget,deadline,projectStatus,projectName
"Anderson, Case and Spencer",464602.39,2026-07-31 02:06:22,Completed,Fully-configurable impactful utilization
Jackson-Graham,392361.35,2026-06-22 06:31:42,In Progress,Sharable high-level function
"Green, Ho and Turner",243657.43,2025-05-21 18:33:34,Not Started,Fundamental empowering contingency
Miller Ltd,104235.82,2026-10-15 11:07:24,Not Started,Fully-configurable background open architecture
"Hawkins, Mccullough and Bates",354893.67,2025-10-20 09:54:39,Completed,Total encompassing moderator
Thomas Group,416169.13,2025-06-30 06:52:53,In Progress,Operative actuating pricing structure
"Brooks, Wilson and Rojas",444529.4,2024-12-27 04:20:07,Cancelled,De-engineered systematic forecast
Mcdonald-Lee,443201.36,2026-03-02 13:07:37,On Hold,Robust reciprocal success
Burch-Gallegos,450801.4,2026-02-20 08:59:25,In Progress,Sharable full-range support
"Hodges, Watts and Delgado",449891.01,2025-03-19 18:38:53,In Progress,Organized regional support
Kramer-Hernandez,465969.37,2026-06-12 21:39:33,Completed,Front-line systematic orchestration
"Parker, Powers and Richards",25665.68,2025-06-12 20:00:37,Completed,Open-architected modular support
"Perry, Turner and Torres",294610.81,2026-08-03 01:46:18,Cancelled,Organized background solution
Hernandez-Hall,65300.28,2026-02-20 10:52:22,On Hold,Function-based web-enabled website
"Castillo, Green and Vazquez",464522.89,2026-02-08 12:45:15,Cancelled,Sharable non-volatile budgetary management
"Taylor, Cruz and Johnston",48995.01,2024-12-31 14:19:54,Completed,Inverse dedicated moratorium
Jordan Ltd,88236.89,2025-06-23 06:20:59,Cancelled,Automated responsive capacity
"Jackson, Alvarado and Gomez",250060.04,2025-06-30 12:28:48,In Progress,Organized methodical structure
Hogan-Andrews,41778.07,2026-05-17 10:40:38,Not Started,Multi-lateral didactic instruction set
Vaughan Ltd,102190.98,2025-09-28 22:56:11,In Progress,Reverse-engineered content-based moratorium
Hansen Group,469681.56,2025-03-13 15:47:10,In Progress,Devolved needs-based Graphic Interface
"Hernandez, Lee and Hurley",90719.33,2025-01-09 20:08:31,In Progress,Phased 24hour circuit
Cunningham-Turner,143884.56,2026-08-18 02:42:37,On Hold,Down-sized disintermediate archive
Rose-Burch,131155.89,2025-12-01 21:09:35,In Progress,Vision-oriented mission-critical database
Watkins-Bauer,291885.02,2026-06-15 09:47:27,In Progress,Operative disintermediate projection
"Kemp, Cummings and Thompson",316794.15,2025-07-26 10:00:31,Cancelled,Profit-focused zero administration service-desk
Stone Inc,402167.22,2026-11-01 18:55:52,In Progress,Optimized contextually-based parallelism
"Robinson, Stewart and Campbell",304770.82,2026-09-10 09:53:36,Completed,Horizontal explicit instruction set
"Chavez, Morgan and Martinez",388939.02,2025-07-11 21:20:23,Completed,Synergized mobile alliance
Davis and Sons,126470.19,2026-01-15 09:26:57,Cancelled,Multi-channeled impactful solution
Jenkins Ltd,15823.95,2025-08-08 10:52:09,Not Started,Multi-tiered regional alliance
Horton-Murray,469072.25,2026-10-26 01:37:37,Completed,Managed national approach
Strickland Ltd,112770.87,2026-05-26 20:39:42,In Progress,Multi-layered national portal
"Smith, Green and Reed",499497.33,2025-07-26 21:04:20,Completed,Implemented local product
Harris-Hall,458695.24,2026-05-23 21:09:07,On Hold,Streamlined neutral capacity
"Gomez, Brown and Nguyen",486878.97,2026-01-26 13:06:34,On Hold,Streamlined grid-enabled secured line
Porter-Andrews,270846.21,2025-06-27 12:57:54,Cancelled,Visionary multi-state encoding
"Luna, Jacobs and Mckinney",99493.15,2025-02-07 12:45:40,Not Started,Organic tertiary policy
Grant Inc,142586.06,2025-07-20 05:49:47,On Hold,Sharable maximized software
Weber-Bautista,28422.96,2024-12-12 16:40:36,Cancelled,Streamlined secondary policy
"Grimes, Olsen and Hernandez",299153.04,2025-08-24 09:22:20,Not Started,Fundamental local collaboration
"Blair, Fleming and Robinson",168666.16,2026-05-24 03:57:46,Cancelled,De-engineered explicit interface
"Lee, Rich and Stevens",36565.39,2026-09-03 09:43:02,In Progress,Innovative solution-oriented moderator
Carter-Nolan,348407.73,2025-04-16 19:55:46,In Progress,Switchable impactful architecture
Edwards-Villarreal,287473.16,2025-09-09 08:34:37,In Progress,Open-source uniform parallelism
Martinez-Walker,335030.94,2026-05-04 18:14:14,Cancelled,Streamlined responsive pricing structure
Ramirez-Martinez,382354.76,2024-12-11 11:18:23,On Hold,Distributed full-range capacity
"Oliver, Jordan and Coleman",332170.49,2026-11-17 02:27:21,Completed,Switchable upward-trending standardization
Pham Inc,233610.18,2025-08-05 20:00:56,Not Started,Face-to-face impactful policy
Smith-Zhang,88447.64,2026-05-24 23:53:06,Completed,Exclusive fresh-thinking circuit
Schroeder-Baker,195744.79,2025-07-04 07:01:22,Not Started,Persevering 24/7 emulation
Bennett-Sherman,33177.46,2026-09-15 09:54:32,Completed,Centralized holistic array
"Jensen, Johnson and Patterson",67474.19,2025-08-26 18:03:41,Not Started,Open-source content-based concept
Morgan Group,286682.0,2025-04-08 03:12:43,Not Started,Customer-focused motivating superstructure
Nelson Inc,60720.45,2025-04-05 17:31:06,In Progress,De-engineered hybrid task-force
Mcneil-Carter,286916.85,2026-04-03 21:02:29,Not Started,Digitized eco-centric standardization
"Mejia, Morris and Cisneros",398673.6,2026-04-25 11:24:09,Cancelled,Enterprise-wide executive protocol
Sullivan PLC,304266.44,2026-07-06 16:12:56,In Progress,Exclusive client-server hierarchy
Miller-Sanchez,188827.07,2025-06-09 03:17:06,Completed,Cloned next generation Graphical User Interface
"Yang, Walker and Miller",183206.01,2026-09-24 04:37:36,Not Started,Synergized bi-directional projection
Smith-Fernandez,396732.81,2025-08-13 14:15:45,Not Started,Innovative next generation groupware
"Lewis, Jennings and Clark",421304.76,2024-12-14 15:18:37,Cancelled,Reactive bifurcated application
Miller Inc,87948.27,2025-06-21 15:39:21,Not Started,Reverse-engineered modular synergy
Pierce-Joyce,71451.8,2025-05-03 17:35:28,Not Started,Monitored web-enabled hub
Case-Palmer,199027.16,2025-12-10 03:41:16,Cancelled,Self-enabling zero-defect help-desk
Stevenson-Hawkins,403388.8,2025-07-21 14:32:11,Cancelled,Diverse hybrid model
Henry-Edwards,363561.93,2025-01-24 14:31:22,In Progress,Managed holistic structure
"Clark, Flores and Lawrence",226896.3,2025-08-20 10:59:21,Cancelled,Cross-group global strategy
Sullivan LLC,268713.32,2026-03-12 10:38:20,Completed,Assimilated high-level interface
"Wood, Taylor and Mathis",105793.42,2025-09-30 00:39:47,In Progress,Implemented exuding extranet
Mack-Bird,379960.96,2026-11-26 01:24:34,Not Started,Expanded object-oriented solution
Price-Smith,382418.48,2025-08-27 10:15:39,Completed,Multi-tiered systematic contingency
"Mcmillan, Castillo and Taylor",13161.74,2026-10-25 19:21:34,Completed,Multi-channeled human-resource concept
"Houston, Walker and Espinoza",354970.58,2024-12-21 13:50:29,Cancelled,Switchable tangible monitoring
"Cisneros, Smith and Dominguez",411675.66,2026-06-28 11:55:46,In Progress,Sharable incremental moderator
Davis-Perez,18711.28,2025-08-02 21:12:16,Completed,Operative national task-force
King and Sons,200505.58,2026-02-13 18:57:49,Completed,Multi-channeled dynamic database
Lam and Sons,54444.26,2025-03-17 23:44:26,On Hold,Adaptive homogeneous knowledgebase
Mueller-Hall,436528.38,2026-09-09 09:00:27,On Hold,Exclusive value-added service-desk
"Cervantes, Crawford and Hammond",437023.97,2025-02-08 08:35:42,On Hold,Exclusive empowering alliance
Ryan Ltd,368244.65,2024-12-01 13:24:32,In Progress,Adaptive tertiary info-mediaries
"Brooks, Bishop and Schroeder",182348.86,2026-06-15 08:50:41,Not Started,Centralized asynchronous collaboration
Smith-Griffith,52945.84,2026-02-16 23:53:53,Not Started,Assimilated mobile attitude
"Bell, Lozano and Smith",225570.02,2026-03-15 14:06:11,On Hold,Reverse-engineered asynchronous portal
"Riley, Perez and Henson",387989.02,2026-09-19 03:00:18,On Hold,Re-engineered composite forecast
Robles-Ramirez,465946.96,2026-09-25 20:26:26,In Progress,Networked motivating monitoring
Flores-Garcia,333985.77,2026-01-04 20:28:44,Completed,Fundamental 5thgeneration customer loyalty
"Miller, Proctor and Liu",152541.11,2025-09-27 18:34:02,Completed,Synchronized hybrid software
"Lee, Bates and Nunez",284833.91,2025-10-07 12:26:32,In Progress,Multi-lateral fault-tolerant circuit
Roberts Ltd,463231.14,2026-06-07 12:05:44,In Progress,Centralized didactic focus group
"Pearson, Stone and Harris",277320.87,2026-07-15 21:06:42,In Progress,Enterprise-wide homogeneous capacity
Hughes-Conway,405399.53,2025-06-04 17:52:47,Cancelled,Triple-buffered non-volatile extranet
Kim-Dunlap,190356.78,2025-08-10 09:28:03,Completed,Ergonomic stable project
"Gonzales, Martin and Powell",222195.93,2025-04-17 09:42:40,Cancelled,User-centric discrete knowledge user
Franklin and Sons,342282.41,2026-11-01 05:56:28,Completed,Business-focused homogeneous ability
Porter Inc,397527.43,2025-07-22 03:56:44,Cancelled,Optional even-keeled approach
Smith Ltd,131007.1,2025-03-13 15:43:27,Not Started,Re-contextualized actuating attitude
Chambers Inc,401398.74,2026-08-16 18:32:28,Cancelled,Object-based executive instruction set
"Lewis, Williams and Ward",483317.85,2025-10-07 16:00:40,On Hold,Enterprise-wide didactic array
Kent Inc,254035.97,2025-05-10 11:37:17,On Hold,Re-engineered incremental alliance
